candidate_project_id,candidate_name,country,region,site_or_portfolio_id,developer,offtaker,business_model,installed_capacity_kwp,annual_generation_kwh,commissioning_year,project_status,ppa_exists,ppa_tenor_years,customer_load_or_self_consumption,project_cost_local,financing_amount_local,financing_structure,source_ids,evidence_class,source_quality_grade,identity_score,location_score,developer_score,offtaker_score,business_model_score,installed_capacity_score,generation_score,commissioning_status_score,ppa_existence_score,ppa_tenor_score,load_self_consumption_score,project_cost_score,financing_amount_score,financing_structure_score,official_source_redundancy_score,total_score,evidence_grade,selection_status,model_mode,notes
VN-GY-TAL-TAV,TAL Apparel TAV rooftop,Vietnam,Vietnam,TAV Limited,GreenYellow,TAV Limited,ONSITE_PPA,1890,2016000,,OPERATING,NO,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-VN-TAL,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,2,0,6,0,0,5,1,71,ACCEPTABLE,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,1.89 MWp; 2.016 GWh/year.
VN-GY-TAL-VGM,TAL Apparel Vietnam Garments rooftop,Vietnam,Vietnam,Vietnam Garments,GreenYellow,Vietnam Garments Manufacturing Limited,ONSITE_PPA,2500,,,CONSTRUCTION,NO,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-VN-TAL,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,5,2,0,6,0,0,5,1,59,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,2.5 MWp under construction.
VN-GY-GIAVICO,Giavico Long An rooftop,Vietnam,Vietnam,Long An,GreenYellow,Giavico,ONSITE_SELF_CONSUMPTION,2600,,,OPERATING,NO,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-VN-GIAVICO,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,2,0,6,0,0,5,1,61,EXCLUDE,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,2.6 MWp several factories.
VN-GY-DUYNHAT,Duy Nhat rooftop extension,Vietnam,Vietnam,Vietnam,GreenYellow,Duy Nhat Trading Manufacturing,ONSITE_SELF_CONSUMPTION,500,,,OPERATING,NO,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-VN-DUYNHAT,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,2,0,6,0,0,5,1,61,EXCLUDE,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,500 kWp extension.
VN-GY-GOMALL,GO Mall Vietnam portfolio,Vietnam,Vietnam,10 Vietnam malls,GreenYellow,GO Mall,PORTFOLIO_DISTRIBUTED,9000,13000000,,OPERATING,YES,20,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-VN-GOMALL,OBSERVED_PROJECT_FACT,STRONG,8,3,5,7,5,10,10,7,8,8,6,0,0,5,1,83,STRONG,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,100% self-consumption; PPA Dec 2020.
VN-GY-LOTTEMART,LOTTE Mart Vietnam portfolio,Vietnam,Vietnam,Multiple stores,GreenYellow,LOTTE Mart,PORTFOLIO_DISTRIBUTED,2660,,,OPERATING,YES,22,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-VN-LOTTEMART,OBSERVED_PROJECT_FACT,STRONG,8,3,5,7,5,10,0,7,8,8,6,0,0,5,1,73,ACCEPTABLE,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,"3,600 GWh claim flagged; not used."
VN-IFC-KES-MDF,KES Vietnam MDF aggregate,Vietnam,Vietnam,MDF1 MDF2,KES Group,KES factories,PORTFOLIO_DISTRIBUTED,6500,,,OPERATING,NO,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,IFC-46500,OBSERVED_PROJECT_FACT,STRONG,8,3,5,7,5,10,0,7,2,0,6,0,0,5,1,59,EXCLUDE,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,6-7 MW aggregate.
VN-IFC-FPE-40MW,FPE Vietnam portfolio reference,Vietnam,Vietnam,Country aggregate,Fourth Partner Energy,Multiple C&I clients,PORTFOLIO_DISTRIBUTED,40000,,,AGGREGATE,NO,,NOT_DISCLOSED,,,standardized benchmark,IFC-48551,OBSERVED_PROJECT_FACT,STRONG,8,3,5,3,5,10,0,3,2,0,2,0,0,5,1,47,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,40 MWp four-country aggregate.
VN-GY-189-PLATFORM,GY Vietnam Thailand platform,Vietnam,Vietnam,Vietnam Thailand,GreenYellow STOA DEG,Multiple C&I clients,PLATFORM,189000,,,AGGREGATE,NO,,NOT_DISCLOSED,,,standardized benchmark,GY-PLATFORM-189,OBSERVED_PROJECT_FACT,STRONG,8,3,5,3,5,10,0,3,2,0,2,0,0,5,1,47,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,Platform only.
VN-IFC-FPE-PORTFOLIO,FPE Vietnam market lead,Vietnam,Vietnam,Country aggregate,Fourth Partner Energy,Multiple C&I clients,PORTFOLIO_DISTRIBUTED,,,,AGGREGATE,NO,,NOT_DISCLOSED,,,standardized benchmark,IFC-48551,OBSERVED_PROJECT_FACT,STRONG,8,3,5,3,5,0,0,3,2,0,2,0,0,5,1,37,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,Retrieval lead.
