project_id,customer_ceiling_vnd_kwh,sponsor_floor_vnd_kwh,lender_floor_vnd_kwh,lower_bound_vnd_kwh,upper_bound_vnd_kwh,negotiation_zone_status,solver_method,tolerance_vnd_kwh,iterations
VG-001,2182.25,1955.905,1997.52,1997.52,2182.25,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-002,2269.54,2034.1412,2077.4208,2077.4208,2269.54,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-003,2219.66,1989.4348,2031.7632,2031.7632,2219.66,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-004,2094.96,2060.856,2104.704,2104.704,2094.96,EMPTY_ZONE,grid_refinement,0.01,8
VG-005,2344.36,2101.2008,2145.9072,2145.9072,2344.36,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-006,2194.72,1967.0816,2008.9344,2008.9344,2194.72,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-007,2244.6,2011.788,2054.592,2054.592,2244.6,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-008,2119.9,2085.39,2129.76,2129.76,2119.9,EMPTY_ZONE,grid_refinement,0.01,8
VG-009,2169.78,2134.458,2179.872,2179.872,2169.78,EMPTY_ZONE,grid_refinement,0.01,8
VG-010,2294.48,2056.4944,2100.2496,2100.2496,2294.48,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-011,2319.42,2078.8476,2123.0784,2123.0784,2319.42,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-012,2244.6,2011.788,2054.592,2054.592,2244.6,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-013,2232.13,2000.6114,2043.1776,2043.1776,2232.13,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-014,2207.19,1978.2582,2020.3488,2020.3488,2207.19,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-015,2219.66,1989.4348,2031.7632,2031.7632,2219.66,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-016,2169.78,2134.458,2179.872,2179.872,2169.78,EMPTY_ZONE,grid_refinement,0.01,8
VG-017,2144.84,2109.924,2154.816,2154.816,2144.84,EMPTY_ZONE,grid_refinement,0.01,8
VG-018,2207.19,1978.2582,2020.3488,2020.3488,2207.19,FEASIBLE_ZONE,grid_refinement,0.01,8
VG-019,2157.31,2122.191,2167.344,2167.344,2157.31,EMPTY_ZONE,grid_refinement,0.01,8
VG-020,2219.66,1989.4348,2031.7632,2031.7632,2219.66,FEASIBLE_ZONE,grid_refinement,0.01,8
