project_id,fx_depreciation,usd_debt_fraction,hedge_fraction,equity_npv_usd,equity_npv_vnd_equivalent,min_dscr,debt_usd,initial_equity_usd,fully_hedged_equity_npv_usd,hedged_min_dscr
VG-005,0.0,0.0,0.0,79573.86786366982,1989346696.5917454,1.2999999999999998,553693.4,298142.6,79573.86786366982,1.2999999999999998
VG-005,0.0,0.5,0.0,92151.9842835108,2303799607.08777,1.2999999999999998,553693.4,298142.6,88901.14292701468,1.2903225806451613
VG-005,0.0,1.0,0.0,104730.10070335174,2618252517.5837936,1.2999999999999998,553693.4,298142.6,98228.41799035949,1.2807881773399015
VG-005,0.04,0.0,0.0,79573.86786366982,1989346696.5917454,1.2999999999999998,553693.4,298142.6,79573.86786366982,1.2999999999999998
VG-005,0.04,0.5,0.0,13096.620945524031,327415523.6381008,1.2169910465219669,553693.4,298142.6,88901.14292701468,1.2903225806451613
VG-005,0.04,1.0,0.0,-47062.33480263541,-1176558370.065885,1.3,553693.4,298142.6,98228.41799035949,1.2807881773399015
VG-005,0.1,0.0,0.0,79573.86786366982,1989346696.5917454,1.2999999999999998,553693.4,298142.6,79573.86786366982,1.2999999999999998
VG-005,0.1,0.5,0.0,-63619.763084765094,-1590494077.1191273,1.1198502814274642,553693.4,298142.6,88901.14292701468,1.2903225806451613
VG-005,0.1,1.0,0.0,-232275.95006589795,-5806898751.647449,1.3,461930.50291256985,389905.49708743015,98228.41799035949,1.2807881773399015
VG-010,0.0,0.0,0.0,57755.44666492872,1443886166.623218,1.2999999999999998,599834.5166666667,322987.81666666677,57755.44666492872,1.2999999999999998
VG-010,0.0,0.5,0.0,71573.9321839579,1789348304.5989478,1.3,599834.5166666668,322987.81666666665,68079.2757176028,1.2903225806451613
VG-010,0.0,1.0,0.0,85392.41770298696,2134810442.5746741,1.3,599834.5166666668,322987.81666666665,78403.10477027674,1.2807881773399015
VG-010,0.04,0.0,0.0,57755.44666492872,1443886166.623218,1.2999999999999998,599834.5166666667,322987.81666666677,57755.44666492872,1.2999999999999998
VG-010,0.04,0.5,0.0,-10754.183014612472,-268854575.3653118,1.216991046521967,599834.5166666668,322987.81666666665,68079.2757176028,1.2903225806451613
VG-010,0.04,1.0,0.0,-71860.09304032002,-1796502326.0080004,1.2999999999999998,599834.5166666668,322987.81666666665,78403.10477027674,1.2807881773399015
VG-010,0.1,0.0,0.0,57755.44666492872,1443886166.623218,1.2999999999999998,599834.5166666667,322987.81666666677,57755.44666492872,1.2999999999999998
VG-010,0.1,0.5,0.0,-90546.62268764885,-2263665567.191221,1.1198502814274642,599834.5166666668,322987.81666666665,68079.2757176028,1.2903225806451613
VG-010,0.1,1.0,0.0,-275052.5855671396,-6876314639.178491,1.3,482972.41977724683,439849.91355608666,78403.10477027674,1.2807881773399015
VG-011,0.0,0.0,0.0,57722.52089284246,1443063022.3210616,1.2999999999999998,553693.4,298142.6,57722.52089284246,1.2999999999999998
VG-011,0.0,0.5,0.0,70399.36966635534,1759984241.6588836,1.2999999999999998,553693.4,298142.6,67168.6008402009,1.2903225806451613
VG-011,0.0,1.0,0.0,83076.21843986823,2076905460.9967058,1.3,553693.4,298142.6,76614.68078755938,1.2807881773399015
VG-011,0.04,0.0,0.0,57722.52089284246,1443063022.3210616,1.2999999999999998,553693.4,298142.6,57722.52089284246,1.2999999999999998
VG-011,0.04,0.5,0.0,-6060.7967446481925,-151519918.61620483,1.2169910465219669,553693.4,298142.6,67168.6008402009,1.2903225806451613
VG-011,0.04,1.0,0.0,-63096.54406714503,-1577413601.6786256,1.3,553693.4,298142.6,76614.68078755938,1.2807881773399015
VG-011,0.1,0.0,0.0,57722.52089284246,1443063022.3210616,1.2999999999999998,553693.4,298142.6,57722.52089284246,1.2999999999999998
VG-011,0.1,0.5,0.0,-80229.50135941005,-2005737533.9852512,1.1198502814274642,553693.4,298142.6,67168.6008402009,1.2903225806451613
VG-011,0.1,1.0,0.0,-250264.45099810322,-6256611274.95258,1.3,448525.8718497705,403310.1281502295,76614.68078755938,1.2807881773399015
VG-012,0.0,0.0,0.0,42639.23828410774,1065980957.1026936,1.2999999999999998,530622.8416666667,285719.9916666668,42639.23828410774,1.2999999999999998
VG-012,0.0,0.5,0.0,55014.0794481956,1375351986.20489,1.3,530622.8416666668,285719.9916666667,51932.10574274148,1.2903225806451613
VG-012,0.0,1.0,0.0,67388.92061228334,1684723015.3070836,1.3,530622.8416666668,285719.9916666667,61224.97320137509,1.2807881773399015
VG-012,0.04,0.0,0.0,42639.23828410774,1065980957.1026936,1.2999999999999998,530622.8416666667,285719.9916666668,42639.23828410774,1.2999999999999998
VG-012,0.04,0.5,0.0,-16923.420137176887,-423085503.42942214,1.2169910465219669,530622.8416666668,285719.9916666667,51932.10574274148,1.2903225806451613
VG-012,0.04,1.0,0.0,-69770.58873471782,-1744264718.3679454,1.2999999999999998,530622.8416666668,285719.9916666667,61224.97320137509,1.2807881773399015
VG-012,0.1,0.0,0.0,42639.23828410774,1065980957.1026936,1.2999999999999998,530622.8416666667,285719.9916666668,42639.23828410774,1.2999999999999998
VG-012,0.1,0.5,0.0,-86445.33793116648,-2161133448.279162,1.1198502814274642,530622.8416666668,285719.9916666667,51932.10574274148,1.2903225806451613
VG-012,0.1,1.0,0.0,-250273.7152330946,-6256842880.827365,1.2999999999999998,422059.91092755715,394282.92240577633,61224.97320137509,1.2807881773399015
